www.ztgame.com                	210.32.92.135
i.ztgame.com                  	114.141.156.45
blog.ztgame.com               	222.73.94.6
es.ztgame.com                 	210.13.74.218
admin.ztgame.com              	222.73.63.137
home.ztgame.com               	222.73.94.6
mail.ztgame.com               	180.168.126.115
web.ztgame.com                	101.226.182.100
a.ztgame.com                  	180.168.126.119
pay.ztgame.com                	222.73.30.13
rr.ztgame.com                 	192.168.66.36
bbs.ztgame.com                	101.226.182.102
ns1.ztgame.com                	222.73.192.119
v.ztgame.com                  	123.150.170.80, 125.39.177.201
video.ztgame.com              	180.96.15.132
hd.ztgame.com                 	101.226.182.70
data.ztgame.com               	10.10.102.128
vip.ztgame.com                	101.226.182.87
wap.ztgame.com                	125.39.177.237
m.ztgame.com                  	222.73.225.224
amt.ztgame.com                	192.168.32.251
bb.ztgame.com                 	222.73.33.118, 222.73.33.117, 125.39.175.145, 222.73.33.115, 125.39.175.144, 222.73.33.116, 222.73.33.119
hr.ztgame.com                 	222.73.63.222
ztm.ztgame.com                	101.226.182.113
sd.ztgame.com                 	101.226.182.113
d.ztgame.com                  	222.73.63.161
safe.ztgame.com               	180.153.244.147
404.ztgame.com                	101.226.182.101
live.ztgame.com               	222.73.192.50, 222.73.63.136
download.ztgame.com           	180.168.126.116
photos.ztgame.com             	59.64.114.212
me.ztgame.com                 	222.73.30.27
login.ztgame.com              	101.226.182.80
photo.ztgame.com              	222.66.162.218
account.ztgame.com            	222.73.225.206
3d.ztgame.com                 	202.120.161.66
mobile.ztgame.com             	222.73.63.161
pt.ztgame.com                 	139.196.36.217
w.ztgame.com                  	101.226.182.53
spam.ztgame.com               	222.73.63.137
gd.ztgame.com                 	121.17.123.176, 121.17.123.171
vpn.ztgame.com                	222.73.33.148
file.ztgame.com               	192.168.1.9
a2.ztgame.com                 	192.168.1.210
as.ztgame.com                 	180.168.126.116
dz.ztgame.com                 	202.120.161.66
webdev.ztgame.com             	180.168.170.7
lb.ztgame.com                 	222.73.225.234
g.ztgame.com                  	180.168.126.115
mo.ztgame.com                 	180.96.6.151
events.ztgame.com             	222.73.221.204
qa.ztgame.com                 	222.73.243.59
owa.ztgame.com                	180.168.126.121
sy.ztgame.com                 	222.73.30.41
tw.ztgame.com                 	222.73.243.145
td.ztgame.com                 	180.168.126.119
reg.ztgame.com                	101.226.182.18
ws.ztgame.com                 	59.64.114.212
zm.ztgame.com                 	222.73.243.120
talk.ztgame.com               	192.168.39.58
ns2.ztgame.com                	125.39.175.110
ns3.ztgame.com                	125.39.175.110
oa.ztgame.com                 	192.168.100.216
sip.ztgame.com                	180.168.126.114
imap.ztgame.com               	218.80.198.250
sso.ztgame.com                	192.168.33.10
wx.ztgame.com                 	101.226.182.36
js.ztgame.com                 	101.226.182.110
finance.ztgame.com            	114.141.156.45
game.ztgame.com               	218.80.198.250
web1.ztgame.com               	180.96.6.151
fax.ztgame.com                	101.226.182.27
ask.ztgame.com                	101.226.182.12
report.ztgame.com             	180.153.244.188
kf.ztgame.com                 	121.17.123.176, 121.17.123.171
jd.ztgame.com                 	210.32.92.152, 210.32.92.153
msoid.ztgame.com              	42.159.160.36
counter.ztgame.com            	101.226.182.61, 101.226.182.54
bf.ztgame.com                 	180.153.244.130
xy.ztgame.com                 	222.73.30.41
football.ztgame.com           	122.11.47.36
jl.ztgame.com                 	101.226.182.36
ld.ztgame.com                 	101.226.182.122
jf.ztgame.com                 	101.226.182.177, 101.226.182.178
365.ztgame.com                	222.73.30.244
industry.ztgame.com           	192.168.41.74
bbs1.ztgame.com               	192.168.1.11
vip1.ztgame.com               	222.73.225.206
zg.ztgame.com                 	101.226.182.56
3g.web.ztgame.com             	203.110.165.101
dev.rr.ztgame.com             	192.168.66.36
dev.bbs.ztgame.com            	180.168.126.125
bbs.3d.ztgame.com             	222.73.243.43
bbs.pt.ztgame.com             	101.226.182.34
bbs.dz.ztgame.com             	210.51.35.101, 222.73.33.185
bbs.ws.ztgame.com             	101.226.182.40
update.wx.ztgame.com          	222.73.60.132
bbs.jd.ztgame.com             	101.226.182.32
bbs.counter.ztgame.com        	222.73.56.199
